time,value,place,location,device
2024-04-16 00:02:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:04:00,22.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:06:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:08:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:10:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:12:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:14:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:16:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:18:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:20:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:22:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:24:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:26:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:28:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:30:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:32:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:34:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:36:00,22.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:38:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:40:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:42:00,22.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:44:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:46:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:48:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:50:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:52:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:54:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:56:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 00:58:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:00:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:02:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:04:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:06:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:08:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:10:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:12:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:14:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:16:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:18:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:20:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:22:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:24:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:26:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:28:00,21.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:30:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:32:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:34:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:36:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:38:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:40:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:42:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:44:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:46:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:48:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:50:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:52:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:54:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:56:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 01:58:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:00:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:02:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:04:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:06:00,25.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:08:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:10:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:12:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:14:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:16:00,22.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:18:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:20:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:22:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:24:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:26:00,22.5,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:28:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-16 02:30:00,24.0,class_a,ac_indoor_unit,gems-3500
