time,value,place,location,device
2024-04-15 00:02:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:04:00,21.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:06:00,22.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:08:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:10:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:12:00,22.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:14:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:16:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:18:00,22.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:20:00,22.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:22:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:24:00,22.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:26:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:28:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:30:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:32:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:34:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:36:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:38:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:40:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:42:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:44:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:46:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:48:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:50:00,22.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:52:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:54:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:56:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 00:58:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:00:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:02:00,22.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:04:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:06:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:08:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:10:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:12:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:14:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:16:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:18:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:20:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:22:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:24:00,22.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:26:00,22.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:28:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:30:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:32:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:34:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:36:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:38:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:40:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:42:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:44:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:46:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:48:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:50:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:52:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:54:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:56:00,21.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 01:58:00,22.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 02:00:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 02:02:00,23.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 02:04:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 02:06:00,22.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 02:08:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 02:10:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 02:12:00,23.5,class_a,ac_indoor_unit,gems-3500
2024-04-15 02:14:00,24.0,class_a,ac_indoor_unit,gems-3500
2024-04-15 02:16:00,24.0,class_a,ac_indoor_unit,gems-3500
