time,value,place,location,device
2024-04-25 00:02:00,511.7,class_a,main,gems-3500
2024-04-25 00:04:00,511.7,class_a,main,gems-3500
2024-04-25 00:06:00,511.7,class_a,main,gems-3500
2024-04-25 00:08:00,511.7,class_a,main,gems-3500
2024-04-25 00:10:00,511.7,class_a,main,gems-3500
2024-04-25 00:12:00,511.7,class_a,main,gems-3500
2024-04-25 00:14:00,511.7,class_a,main,gems-3500
2024-04-25 00:16:00,511.7,class_a,main,gems-3500
2024-04-25 00:18:00,511.7,class_a,main,gems-3500
2024-04-25 00:20:00,511.7,class_a,main,gems-3500
2024-04-25 00:22:00,511.7,class_a,main,gems-3500
2024-04-25 00:24:00,511.7,class_a,main,gems-3500
2024-04-25 00:26:00,511.7,class_a,main,gems-3500
2024-04-25 00:28:00,511.7,class_a,main,gems-3500
2024-04-25 00:30:00,511.7,class_a,main,gems-3500
2024-04-25 00:32:00,511.7,class_a,main,gems-3500
2024-04-25 00:34:00,511.7,class_a,main,gems-3500
2024-04-25 00:36:00,511.7,class_a,main,gems-3500
2024-04-25 00:38:00,511.7,class_a,main,gems-3500
2024-04-25 00:40:00,511.7,class_a,main,gems-3500
2024-04-25 00:42:00,511.7,class_a,main,gems-3500
2024-04-25 00:44:00,511.7,class_a,main,gems-3500
2024-04-25 00:46:00,511.7,class_a,main,gems-3500
2024-04-25 00:48:00,511.7,class_a,main,gems-3500
2024-04-25 00:50:00,511.7,class_a,main,gems-3500
2024-04-25 00:52:00,511.7,class_a,main,gems-3500
2024-04-25 00:54:00,511.7,class_a,main,gems-3500
2024-04-25 00:56:00,511.7,class_a,main,gems-3500
2024-04-25 00:58:00,511.7,class_a,main,gems-3500
2024-04-25 01:00:00,511.8,class_a,main,gems-3500
2024-04-25 01:02:00,511.8,class_a,main,gems-3500
2024-04-25 01:04:00,511.8,class_a,main,gems-3500
2024-04-25 01:06:00,511.8,class_a,main,gems-3500
2024-04-25 01:08:00,511.8,class_a,main,gems-3500
2024-04-25 01:10:00,511.8,class_a,main,gems-3500
2024-04-25 01:12:00,511.8,class_a,main,gems-3500
2024-04-25 01:14:00,511.8,class_a,main,gems-3500
2024-04-25 01:16:00,511.8,class_a,main,gems-3500
2024-04-25 01:18:00,511.8,class_a,main,gems-3500
2024-04-25 01:20:00,511.8,class_a,main,gems-3500
2024-04-25 01:22:00,511.8,class_a,main,gems-3500
2024-04-25 01:24:00,511.8,class_a,main,gems-3500
2024-04-25 01:26:00,511.85,class_a,main,gems-3500
2024-04-25 01:28:00,511.9,class_a,main,gems-3500
2024-04-25 01:30:00,511.9,class_a,main,gems-3500
2024-04-25 01:32:00,511.9,class_a,main,gems-3500
2024-04-25 01:34:00,511.9,class_a,main,gems-3500
2024-04-25 01:36:00,511.9,class_a,main,gems-3500
2024-04-25 01:38:00,511.9,class_a,main,gems-3500
2024-04-25 01:40:00,511.9,class_a,main,gems-3500
2024-04-25 01:42:00,511.9,class_a,main,gems-3500
2024-04-25 01:44:00,511.9,class_a,main,gems-3500
2024-04-25 01:46:00,511.9,class_a,main,gems-3500
2024-04-25 01:48:00,511.9,class_a,main,gems-3500
2024-04-25 01:50:00,511.9,class_a,main,gems-3500
2024-04-25 01:52:00,512.0,class_a,main,gems-3500
2024-04-25 01:54:00,512.0,class_a,main,gems-3500
2024-04-25 01:56:00,512.0,class_a,main,gems-3500
2024-04-25 01:58:00,512.0,class_a,main,gems-3500
2024-04-25 02:00:00,512.0,class_a,main,gems-3500
2024-04-25 02:02:00,512.0,class_a,main,gems-3500
2024-04-25 02:04:00,512.0,class_a,main,gems-3500
2024-04-25 02:06:00,512.0,class_a,main,gems-3500
2024-04-25 02:08:00,512.0,class_a,main,gems-3500
2024-04-25 02:10:00,512.0,class_a,main,gems-3500
2024-04-25 02:12:00,512.0,class_a,main,gems-3500
2024-04-25 02:14:00,512.0,class_a,main,gems-3500
2024-04-25 02:16:00,512.05,class_a,main,gems-3500
2024-04-25 02:18:00,512.1,class_a,main,gems-3500
2024-04-25 02:20:00,512.1,class_a,main,gems-3500
2024-04-25 02:22:00,512.1,class_a,main,gems-3500
2024-04-25 02:24:00,512.1,class_a,main,gems-3500
2024-04-25 02:26:00,512.1,class_a,main,gems-3500
2024-04-25 02:28:00,512.1,class_a,main,gems-3500
2024-04-25 02:30:00,512.1,class_a,main,gems-3500
2024-04-25 02:32:00,512.1,class_a,main,gems-3500
2024-04-25 02:34:00,512.1,class_a,main,gems-3500
2024-04-25 02:36:00,512.1,class_a,main,gems-3500
2024-04-25 02:38:00,512.1,class_a,main,gems-3500
2024-04-25 02:40:00,512.1,class_a,main,gems-3500
2024-04-25 02:42:00,512.1500000000001,class_a,main,gems-3500
2024-04-25 02:44:00,512.2,class_a,main,gems-3500
2024-04-25 02:46:00,512.2,class_a,main,gems-3500
2024-04-25 02:48:00,512.2,class_a,main,gems-3500
2024-04-25 02:50:00,512.2,class_a,main,gems-3500
2024-04-25 02:52:00,512.2,class_a,main,gems-3500
2024-04-25 02:54:00,512.2,class_a,main,gems-3500
2024-04-25 02:56:00,512.2,class_a,main,gems-3500
2024-04-25 02:58:00,512.2,class_a,main,gems-3500
2024-04-25 03:00:00,512.2,class_a,main,gems-3500
2024-04-25 03:02:00,512.2,class_a,main,gems-3500
2024-04-25 03:04:00,512.2,class_a,main,gems-3500
2024-04-25 03:06:00,512.2,class_a,main,gems-3500
2024-04-25 03:08:00,512.2,class_a,main,gems-3500
2024-04-25 03:10:00,512.2,class_a,main,gems-3500
2024-04-25 03:12:00,512.2,class_a,main,gems-3500
2024-04-25 03:14:00,512.2,class_a,main,gems-3500
2024-04-25 03:16:00,512.2,class_a,main,gems-3500
2024-04-25 03:18:00,512.2,class_a,main,gems-3500
2024-04-25 03:20:00,512.2,class_a,main,gems-3500
2024-04-25 03:22:00,512.2,class_a,main,gems-3500
2024-04-25 03:24:00,512.2,class_a,main,gems-3500
2024-04-25 03:26:00,512.2,class_a,main,gems-3500
2024-04-25 03:28:00,512.2,class_a,main,gems-3500
2024-04-25 03:30:00,512.2,class_a,main,gems-3500
2024-04-25 03:32:00,512.2,class_a,main,gems-3500
2024-04-25 03:34:00,512.2,class_a,main,gems-3500
2024-04-25 03:36:00,512.2,class_a,main,gems-3500
2024-04-25 03:38:00,512.2,class_a,main,gems-3500
2024-04-25 03:40:00,512.25,class_a,main,gems-3500
2024-04-25 03:42:00,512.3,class_a,main,gems-3500
2024-04-25 03:44:00,512.3,class_a,main,gems-3500
2024-04-25 03:46:00,512.3,class_a,main,gems-3500
2024-04-25 03:48:00,512.3,class_a,main,gems-3500
2024-04-25 03:50:00,512.3,class_a,main,gems-3500
2024-04-25 03:52:00,512.3,class_a,main,gems-3500
2024-04-25 03:54:00,512.3,class_a,main,gems-3500
2024-04-25 03:56:00,512.3,class_a,main,gems-3500
2024-04-25 03:58:00,512.3,class_a,main,gems-3500
2024-04-25 04:00:00,512.3,class_a,main,gems-3500
2024-04-25 04:02:00,512.3,class_a,main,gems-3500
2024-04-25 04:04:00,512.3,class_a,main,gems-3500
2024-04-25 04:06:00,512.3,class_a,main,gems-3500
2024-04-25 04:08:00,512.3,class_a,main,gems-3500
2024-04-25 04:10:00,512.3,class_a,main,gems-3500
2024-04-25 04:12:00,512.3,class_a,main,gems-3500
2024-04-25 04:14:00,512.3,class_a,main,gems-3500
2024-04-25 04:16:00,512.3,class_a,main,gems-3500
2024-04-25 04:18:00,512.3,class_a,main,gems-3500
2024-04-25 04:20:00,512.3,class_a,main,gems-3500
2024-04-25 04:22:00,512.3,class_a,main,gems-3500
2024-04-25 04:24:00,512.3,class_a,main,gems-3500
2024-04-25 04:26:00,512.3,class_a,main,gems-3500
2024-04-25 04:28:00,512.3,class_a,main,gems-3500
2024-04-25 04:30:00,512.3,class_a,main,gems-3500
2024-04-25 04:32:00,512.3,class_a,main,gems-3500
2024-04-25 04:34:00,512.3,class_a,main,gems-3500
2024-04-25 04:36:00,512.3499999999999,class_a,main,gems-3500
2024-04-25 04:38:00,512.4,class_a,main,gems-3500
2024-04-25 04:40:00,512.4,class_a,main,gems-3500
2024-04-25 04:42:00,512.4,class_a,main,gems-3500
